wnid,synset,gloss,safety
n10181445,homeboy,a male friend from your neighborhood or hometown,sensitive
n10062492,equerry,a personal attendant of the British royal family,sensitive
n09685233,Hare Krishna,worshipper of Krishna and member of the International Society for Krishna Consciousness,sensitive
n10602985,"sister, sis","a female person who has the same parents as another person; ""my sister married a musician""",sensitive
n09613118,contadino,an Italian farmer,sensitive
n10101981,footman,a man employed as a servant in a large establishment (as a palace) to run errands and do chores,sensitive
n09750891,"Yugoslav, Jugoslav, Yugoslavian, Jugoslavian",a native or inhabitant of Yugoslavia,sensitive
n10134760,godfather,any man who serves as a sponsor for a child at baptism,sensitive
n10580437,septuagenarian,someone whose age is in the seventies,sensitive
n10092643,"firstborn, eldest",the offspring who came first in the order of birth,sensitive
n10712690,"tippler, social drinker",someone who drinks liquor repeatedly in small quantities,sensitive
n09699020,"Cypriot, Cypriote, Cyprian",a native or inhabitant of Cyprus,sensitive
n09892262,capitalist,a conservative advocate of capitalism,sensitive
n09698644,Congolese,a native or inhabitant of the Republic of the Congo,sensitive
n10374943,old-age pensioner,an old person who receives an old-age pension,sensitive
n10384392,orphan,a child who has lost both parents,sensitive
n09901786,Catholicos,the ecclesiastical title of the leaders of the Nestorian and Armenian churches,sensitive
n10295371,marquess,a British peer ranking below a duke and above an earl,sensitive
n10691318,"tapper, wiretapper, phone tapper",someone who wiretaps a telephone or telegraph wire,sensitive
n09660010,Malecite,a member of the Algonquian people of northeastern Maine and New Brunswick,sensitive
n09668562,Shawnee,a member of the Algonquian people formerly living along the Tennessee river,sensitive
n09988063,"dad, dada, daddy, pa, papa, pappa, pop",an informal term for a father; probably derived from baby talk,sensitive
n10240821,Kshatriya,a member of the royal or warrior Hindu caste,sensitive
n09726621,South American Indian,a member of a native Indian group in South America,sensitive
n09692915,Herero,"a member of a pastoral Bantu people living in Namibia, Botswana, and Angola",sensitive
n10294020,margrave,the military governor of a frontier province in medieval Germany,sensitive
n09910556,chartered accountant,a British or Canadian accountant who is a member of a professional body that has a royal charter,sensitive
n09665367,Penobscot,a member of the Algonquian people belonging to the Abnaki confederacy and living in the Penobscot valley in northern Maine,sensitive
n09672725,Yavapai,a member of a North American Indian people of central Arizona,sensitive
n10349750,Nazarene,an early name for any Christian,sensitive
n10373390,officiant,a clergyman who officiates at a religious ceremony or service,sensitive
n10077106,familiar,a person attached to the household of a high official (as a pope or bishop) who renders service in return for support,sensitive
n10117851,gal,alliterative term for girl (or woman),sensitive
n09746936,Uruguayan,a native or inhabitant of Uruguay,sensitive
n10333044,mother figure,a woman who evokes the feelings usually reserved for a mother,sensitive
n10410246,peacekeeper,a member of a military force that is assigned (often with international sanction) to preserve peace in a trouble area,sensitive
n09667358,Salish,a member of a group of North American Indians speaking a Salishan language and living on the northwest coast of North America,sensitive
n10152616,guru,a Hindu or Buddhist religious leader and spiritual teacher,sensitive
n10315456,Milanese,a native or inhabitant of Milan,sensitive
n09984960,customer agent,a foreign purchaser who buys goods outright for resale,sensitive
n09751895,Zimbabwean,a native or inhabitant of Zimbabwe,sensitive
n10083677,"fellow traveler, fellow traveller",a communist sympathizer (but not a member of the Communist Party),sensitive
n10597505,signer,someone who can use sign language to communicate,sensitive
n09830400,backbencher,a member of the House of Commons who is not a party leader,sensitive
n09889941,camper,someone living temporarily in a tent or lodge for recreation,sensitive
n10409459,pawnbroker,a person who lends money at interest in exchange for personal property that is deposited as security,sensitive
n10082423,"Fauve, fauvist",a member of a group of French painters who followed fauvism,sensitive
n10072054,"exorcist, exorciser",someone who practices exorcism,sensitive
n10417288,peshmerga,a member of a Kurdish guerilla organization that fights for a free Kurdish state,sensitive
n09762385,accuser,someone who imputes guilt or blame,sensitive
n09695019,Carioca,a native or inhabitant of Rio de Janeiro,sensitive
n10144338,"grass widower, divorced man",a man who is divorced from (or separated from) his wife,sensitive
n09748889,Ghanian,a native or inhabitant of Ghana,sensitive
n10588965,shepherd,a clergyman who watches over a group of people,sensitive
n09703932,Cornishwoman,a woman who is a native or resident of Cornwall,sensitive
n09731436,South African,a native or inhabitant of South Africa,sensitive
n09664556,"Paiute, Piute",a member of either of two Shoshonean peoples (northern Paiute and southern Paiute) related to the Aztecs and living in the southwestern United States,sensitive
n09751496,Xhosa,a member of the Negroid people of southern South Africa,sensitive
n10084295,"female child, girl, little girl","a youthful female person; ""the baby was a girl""; ""the girls were just learning to ride a tricycle""",sensitive
n09736945,Ugandan,a native or inhabitant of Uganda,sensitive
n09890192,camp follower,a follower who is not a member of an ingroup,sensitive
n09781650,albino,a person with congenital albinism: white hair and milky skin; eyes are usually pink,sensitive
n09956578,"conqueror, vanquisher",someone who is victorious by force of arms,sensitive
n10368528,"nymph, houri",a voluptuously beautiful young woman,sensitive
n10765679,"wanderer, roamer, rover, bird of passage",someone who leads a wandering unsettled life,sensitive
n10048367,elder,any of various church officers,sensitive
n10123122,gendarme,a French policeman,sensitive
n09994808,deaconess,a woman deacon,sensitive
n09715165,Irishman,a man who is a native or inhabitant of Ireland,sensitive
n10327987,"Monegasque, Monacan",a native or inhabitant of Monaco,sensitive
n10288964,adonis,any handsome young man,sensitive
n09737453,"Tungus, Evenk",a member of the Tungus speaking people of Mongolian race who are a nomadic people widely spread over eastern Siberia; related to the Manchu,sensitive
n09901337,catechist,one who instructs catechumens in preparation for baptism (especially one using a catechism),sensitive
n10119609,gamine,a girl of impish appeal,sensitive
n10113583,"front man, front, figurehead, nominal head, straw man, strawman",a person used as a cover for some questionable activity,sensitive
n09937903,"colonizer, coloniser",someone who helps to found a colony,sensitive
n10219453,janissary,"a loyal supporter; ""every politician has a following of janissaries""",sensitive
n10156831,Hakka,"a member of a people of southeastern China (especially Hong Kong, Canton, and Taiwan) who migrated from the north in the 12th century",sensitive
n09789566,amputee,someone who has had a limb removed by amputation,sensitive
n09877750,"Brummie, Brummy","a native or resident of Birmingham, England",sensitive
n10530959,"right-hander, right hander, righthander",a person who uses the right hand more skillfully than the left,sensitive
n10245029,landgrave,a count who had jurisdiction over a large territory in medieval Germany,sensitive
n10025635,donna,an Italian woman of rank,sensitive
n10366145,nullipara,(obstetrics) a woman who has never give birth to a child,sensitive
n09744679,New Yorker,a native or resident of New York (especially of New York City),sensitive
n10145590,great grandmother,a mother of your grandparent,sensitive
n09906449,chameleon,a changeable or inconstant person,sensitive
n09670521,Tarahumara,a member of the Taracahitian people of north central Mexico,sensitive
n09871867,boy scout,a man who is considered naive,sensitive
n10478293,proconsul,a provincial governor of consular rank in the Roman Republic and Roman Empire,sensitive
n10236521,"enate, matrikin, matrilineal kin, matrisib, matrilineal sib",one related on the mother's side,sensitive
n09971273,countrywoman,a woman who lives in the country and has country ways,sensitive
n09735258,Turki,any member of the peoples speaking a Turkic language,sensitive
n09649067,Olmec,a member of an early Mesoamerican civilization centered around Veracruz that flourished between 1300 and 400 BC,sensitive
n10247880,Latin,a person who is a member of those peoples whose languages derived from Latin,sensitive
n09744834,"North Carolinian, Tarheel",a native or resident of North Carolina,sensitive
n09724785,Nigerian,a native or inhabitant of Nigeria,sensitive
n10221520,Jesuit,a member of the Jesuit order,sensitive
n09656077,Havasupai,a member of a North American Indian people of Cataract Canyon in Arizona,sensitive
n09823502,"aunt, auntie, aunty",the sister of your father or mother; the wife of your uncle,sensitive
n09679170,gentile,a person who is not a member of one's own religion; used in this sense by Mormons and Hindus,sensitive
n10015792,dirty old man,a middle-aged man with lecherous inclinations,sensitive
n10248198,latitudinarian,a person who is broad-minded and tolerant (especially in standards of religious belief and conduct),sensitive
n10672371,Sufi,a Muslim who represents the mystical dimension of Islam; a Muslim who seeks direct experience of Allah; mainly in Iran,sensitive
n09712448,Haitian,a native or inhabitant of Haiti,sensitive
n10097842,flower girl,a young girl who carries flowers in a (wedding) procession,sensitive
n09744161,"Nebraskan, Cornhusker",a native or resident of Nebraska,sensitive
n10539278,Rosicrucian,a member of a secret 17th-century society of philosophers and scholars versed in mystical and metaphysical and alchemical lore,sensitive
n09670909,Tuscarora,a member of an Iroquois people who formerly lived in North Carolina and then moved to New York State and joined the Iroquois,sensitive
n10519494,religious leader,leader of a religious order,sensitive
n10612518,"slopseller, slop-seller",a dealer in cheap ready-made clothing,sensitive
n10755648,"Visayan, Bisayan",a member of the most numerous indigenous people of the Philippines,sensitive
n09709531,Creole,a person descended from French ancestors in southern United States (especially Louisiana),sensitive
n10335246,"mourner, griever, sorrower, lamenter",a person who is feeling grief (as grieving over someone who has died),sensitive
n10597889,signora,an Italian title of address equivalent to Mrs. when used before a name,sensitive
n09836519,matador,the principal bullfighter who is appointed to make the final passes and kill the bull,sensitive
n10061043,"envoy, envoy extraordinary, minister plenipotentiary",a diplomat having less authority than an ambassador,sensitive
n09826605,"aviatrix, airwoman, aviatress",a woman aviator,sensitive
n09762011,accused,a defendant in a criminal proceeding,sensitive
n10457214,poster girl,a female poster child,sensitive
n10158506,hand,"a member of the crew of a ship; ""all hands on deck""",sensitive
n10075299,eyewitness,a spectator who can describe what happened,sensitive
n09712967,Moro,a member of the predominantly Muslim people in the southern Philippines,sensitive
n10753339,"vigilante, vigilance man",member of a vigilance committee,sensitive
n10577182,self-starter,an energetic person with unusual initiative,sensitive
n10037922,"dry, prohibitionist",a reformer who opposes the use of intoxicating beverages,sensitive
n09774167,advisee,someone who receives advice,sensitive
n10599215,simperer,a smiler whose smile is silly and self-conscious and sometimes coy,sensitive
n09924195,city man,a financier who works in one of the banks in the City of London,sensitive
n10318293,"mill-hand, factory worker",a workman in a mill or factory,sensitive
n10508141,ratepayer,a person who pays local rates (especially a householder),sensitive
n10583790,settler,a clerk in a betting shop who calculates the winnings,sensitive
n10005934,deputy,a member of the lower chamber of a legislative assembly (such as in France),sensitive
n10690648,"tanker, tank driver",a soldier who drives a tank,sensitive
n10121714,gasman,someone employed by a gas company,sensitive
n09663786,Osage,a member of the Siouan people formerly living in Missouri in the valleys of the Missouri and Osage rivers; oil was found on Osage lands early in the 20th century,sensitive
n09720702,Levantine,(formerly) a native or inhabitant of the Levant,sensitive
n10037588,"Druze, Druse","an adherent of an esoteric monotheistic religious sect living in the relative security of the mountains of Syria and Lebanon who believes that Al-hakim was an incarnation of God; ""a Druze is permitted to conform outwardly to the faith of the unbelievers among whom he lives""",sensitive
n10187491,hostess,a woman host,sensitive
n09741074,"Alaska Native, Alaskan Native, Native Alaskan",a member or descendant of any of the aboriginal peoples of Alaska,sensitive
n09690496,Andorran,a native or inhabitant of Andorra,sensitive
n10433452,pilot,a person qualified to guide ships through difficult waters going into or out of a harbor,sensitive
n10563403,scrambler,"a rapid mover; someone who scrambles; ""their quarterback was a good scrambler""; ""scramblers can often unnerve a better tennis player""",sensitive
n09638875,"White, White person, Caucasian",a member of the Caucasoid race,sensitive
n10135297,"goffer, gopher",a zealously energetic person (especially a salesman),sensitive
n10552393,Sassenach,the Scots' term for an English person,sensitive
n10135197,gofer,an employee whose duties include running errands,sensitive
n10692090,Tarzan,(sometimes used ironically) a man of great strength and agility (after the hero of a series of novels by Edgar Rice Burroughs),sensitive
n09690621,Angolan,a native or inhabitant of Angola,sensitive
n09611722,conservator,someone appointed by a court to assume responsibility for the interests of a minor or incompetent person,sensitive
n09665545,Penutian,a member of a North American Indian people speaking one of the Penutian languages,sensitive
n09901502,"catechumen, neophyte",a new convert being taught the principles of Christianity by a catechist,sensitive
n09991740,dark horse,a political candidate who is not well known but could win unexpectedly,sensitive
n10787470,"woman, adult female","an adult female person (as opposed to a man); ""the woman kept house while the man hunted""",sensitive
n10522759,"rescuer, recoverer, saver",someone who saves something from danger or violence,sensitive
n10581890,"serjeant-at-law, serjeant, sergeant-at-law, sergeant",an English barrister of the highest rank,sensitive
n10193650,huntress,a woman hunter,sensitive
n09621232,native,"a person born in a particular place or country; ""he is a native of Brazil""",sensitive
n10161622,hash head,a user of hashish,sensitive
n10612373,sloganeer,someone who coins and uses slogans to promote a cause,sensitive
n10117415,"gagman, standup comedian",a comedian who uses gags,sensitive
n10712229,"tinkerer, fiddler",an unskilled person who tries to fix or mend,sensitive
n10211036,"interlocutor, middleman",the performer in the middle of a minstrel line who engages the others in talk,sensitive
n10471732,"prima donna, diva",a distinguished female operatic singer; a female operatic star,sensitive
n10093475,"first sergeant, sergeant first class",a sergeant in the Army above the rank of staff sergeant and below master sergeant,sensitive
n10078719,farm boy,a boy who has grown up on a farm,sensitive
n09728285,"Romanian, Rumanian",a native or inhabitant of Romania,sensitive
n09724234,Gurkha,a member of Hindu people descended from brahmins and Rajputs who live in Nepal,sensitive
n09738121,Igbo,"a member of the largest ethnic group in southeastern Nigeria; ""most Igbo are farmers""",sensitive
n09904208,centenarian,someone who is at least 100 years old,sensitive
n10672540,"suffragan, suffragan bishop",an assistant or subordinate bishop of a diocese,sensitive
n10756148,viscount,(in various countries) a son or younger brother or a count,sensitive
n09912995,checker,one who checks the correctness of something,sensitive
n09836343,banderillero,the bullfighter who implants decorated darts (banderillas) into the neck or shoulders of the bull during a bull fight,sensitive
n10644598,"staff member, staffer",an employee who is a member of a staff of workers (especially a member of the staff that works for the President of the United States),sensitive
n09767197,"actor, doer, worker","a person who acts and gets things done; ""he's a principal actor in this affair""; ""when you want something done get a doer""; ""he's a miracle worker""",sensitive
n09654518,Delaware,a member of an Algonquian people formerly living in New Jersey and New York and parts of Delaware and Pennsylvania,sensitive
n09653438,Comanche,a member of the Shoshonean people who formerly lived between Wyoming and the Mexican border but are now chiefly in Oklahoma,sensitive
n10592049,shop girl,a young female shop assistant,sensitive
n10050880,elocutionist,a public speaker trained in voice production and gesture and delivery,sensitive
n09727440,Filipino,a native or inhabitant of the Philippines,sensitive
n09669631,"Teton, Lakota, Teton Sioux, Teton Dakota",a member of the large western branch of Sioux people which was made up of several groups that lived on the plains,sensitive
n10266328,"literate, literate person",a person who can read and write,sensitive
n10300041,"mate, first mate",the officer below the master on a commercial ship,sensitive
n10317963,mill agent,the responsible official at a mill that is under absentee ownership,sensitive
n10140783,grader,a judge who assigns grades to something,sensitive
n09700125,Djiboutian,a native or inhabitant of Djibouti,sensitive
n10533874,"roadman, road mender",a workman who is employed to repair roads,sensitive
n10243273,lady-in-waiting,a lady appointed to attend to a queen or princess,sensitive
n10252354,"lector, reader",someone who reads the lessons in a church service; someone ordained in a minor order of the Roman Catholic Church,sensitive
n10778148,"Carmelite, White Friar",a Roman Catholic friar wearing the white cloak of the Carmelite order; mendicant preachers,sensitive
n10456138,"positivist, rationalist",someone who emphasizes observable facts and excludes metaphysical speculation about origins or ultimate causes,sensitive
n09840435,baron,a British peer of the lowest rank,sensitive
n10364198,"novitiate, novice",someone who has entered a religious order but has not taken final vows,sensitive
n10578471,senator,a member of a senate,sensitive
n10655442,steward,someone who manages property or other affairs for someone else,sensitive
n10734891,Tyke,a native of Yorkshire,sensitive
n10654827,stepmother,the wife of your father by a subsequent marriage,sensitive
n09741331,"Arkansan, Arkansawyer",a native or resident of Arkansas,sensitive
n10097995,flower girl,a woman who sells flowers in the street,sensitive
n09862183,"boatswain, bos'n, bo's'n, bosun, bo'sun",a petty officer on a merchant ship who controls the work of other seamen,sensitive
n10690421,tallyman,one who sells goods on the installment plan,sensitive
n09659188,"Kiliwa, Kiliwi",a member of a North American Indian people living in northern Baja California,sensitive
n10006748,descender,someone who descends,sensitive
n10458596,prosthetist,an expert in prosthetics,safe
n10711483,"timekeeper, timer",(sports) an official who keeps track of the time elapsed,safe
n10722029,trail boss,the person responsible for driving a herd of cattle,safe
n10481268,"programmer, computer programmer, coder, software engineer",a person who designs and writes and tests computer programs,safe
n09855433,biographer,someone who writes an account of a person's life,safe
n09755788,abecedarian,a novice learning the rudiments of some subject,safe
n10614629,"smith, metalworker",someone who works metal (especially by hammering it when it is hot and malleable),safe
n10299250,"master of ceremonies, emcee, host",a person who acts as host at formal occasions (makes an introductory speech and introduces other speakers),safe
n10371450,"officeholder, officer","someone who is appointed or elected to an office and who holds a position of trust; ""he is an officer of the court""; ""the club elected its officers for the coming year""",safe
n09607630,"appointee, appointment",a person who is appointed to a job or position,safe
n10334009,motorcyclist,a traveler who rides a motorcycle,safe
n09784160,"allegorizer, allegoriser",someone who communicates in allegories,safe
n09958447,consignee,the person to whom merchandise is delivered over,safe
n10486236,protozoologist,a zoologist who studies protozoans,safe
n10516527,"registered nurse, RN",a graduate nurse who has passed examinations for registration,safe
n09785236,"almoner, medical social worker",an official in a British hospital who looks after the social and material needs of the patients,safe
n10304650,mechanical engineer,a person trained to design and construct machines,safe
n10253479,"legate, official emissary",a member of a legation,safe
n10053808,employee,a worker who is hired to perform a job,safe
n09967063,cosmetician,someone who sells or applies cosmetics,safe
n10714195,tobogganist,someone who rides a toboggan,safe
n09896685,carpenter,a woodworker who makes or repairs wooden objects,safe
n10249270,"lawgiver, lawmaker",a maker of laws; someone who gives a code of laws,safe
n10188957,housemate,someone who resides in the same house with you,safe
n10493685,puppeteer,one who operates puppets or marionettes,safe
n09896311,carillonneur,a musician who plays a carillon,safe
n10082687,featherweight,a professional boxer who weighs between 123 and 126 pounds,safe
n10261862,light heavyweight,an amateur boxer who weighs no more than 179 pounds,safe
n09624559,"mediator, go-between, intermediator, intermediary, intercessor",a negotiator who acts as a link between parties,safe
n10036929,drummer,someone who plays a drum,safe
n10438842,plasterer,a worker skilled in applying plaster,safe
n10381804,"orderly, hospital attendant",a male hospital attendant who has general duties that do not involve the medical treatment of patients,safe
n10227793,junior middleweight,weighs no more than 154 pounds,safe
n10667477,stylist,an artist who is a master of a particular style,safe
n10353928,neurobiologist,a specialist in neurobiology,safe
n10265891,lister,assessor who makes out the tax lists,safe
n09896401,"caroler, caroller",a singer of carols,safe
n10369699,"obstetrician, accoucheur",a physician specializing in obstetrics,safe
n10478118,process-server,someone who personally delivers a process (a writ compelling attendance in court) or court papers to the defendant,safe
n10098517,flyweight,an amateur boxer who weighs no more than 112 pounds,safe
n10261511,light flyweight,an amateur boxer who weighs no more than 106 pounds,safe
n10227698,junior lightweight,weighs no more than 130 pounds,safe
n10604380,skateboarder,someone who skates on a skateboard,safe
n10671898,"succorer, succourer",someone who gives help in times of need or distress or difficulty,safe
n09929202,climatologist,someone who is expert in climatology,safe
n09757449,"abseiler, rappeller",a person who descends down a nearly vertical face by using a doubled rope that is wrapped around the body and attached to some high point,safe
n10590452,shipping agent,the agent of a shipowner,safe
n10577710,selling agent,someone who sells goods (on commission) for others,safe
n10266016,literary critic,a critic of literature,safe
n09759501,academician,someone elected to honorary membership in an academy,safe
n10076604,"falconer, hawker",a person who breeds and trains hawks and who follows the sport of falconry,safe
n10753989,vintager,a person who harvests grapes for making wine,safe
n10341343,music teacher,someone who teaches music,safe
n10426630,phonologist,a specialist in phonology,safe
n10619642,social scientist,someone expert in the study of human society and its personal relationships,safe
n10010062,developer,someone who develops real estate (especially someone who prepares a site for residential or commercial use),safe
n09781398,"air traveler, air traveller",someone who travels by airplane,safe
n10019187,district manager,a manager who supervises the sales activity for a district,safe
n09608709,"benefactor, helper",a person who helps people or institutions (especially with financial help),safe
n09944022,commissioner,a member of a commission,safe
n10315561,miler,a runner in a one-mile race,safe
n10692883,"tax assessor, assessor",an official who evaluates property for the purpose of taxing it,safe
n09790482,analyst,someone who is skilled at analyzing data,safe
n10164492,head nurse,the person in charge of nursing in a medical institution,safe
n10747965,venture capitalist,a speculator who makes money available for innovative projects (especially in high technology),safe
n09895701,caretaker,a custodian who is hired to take care of something (property or a person),safe
n10599806,"singer, vocalist, vocalizer, vocaliser",a person who sings,safe
n10504090,radiologic technologist,a scientist trained in radiological technology,safe
n09859152,blacksmith,a smith who forges and shapes iron with a hammer and anvil,safe
n10688356,tactician,a person who is skilled at planning tactics,safe
n10366966,nurse,one skilled in caring for young children or the sick (usually under the supervision of a physician),safe
n10720197,track star,a star runner,safe
n09923996,city editor,the newspaper editor in charge of editing local news,safe
n10263146,limnologist,a specialist in the study of freshwater ponds and lakes,safe
n10566072,"sculptor, sculpturer, carver, statue maker",an artist who creates sculptures,safe
n10284064,"maker, shaper",a person who makes things,safe
n09997622,"debtor, debitor",a person who owes a creditor; someone who has the obligation of paying a debt,safe
n10030277,"dramatist, playwright",someone who writes plays,safe
n10363445,noticer,"someone who takes notice; ""a careful noticer of details""",safe
n10661732,"straw boss, assistant foreman",a member of a work gang who supervises the other workers,safe
n10715789,torchbearer,a leader in a campaign or movement,safe
n09810166,"arrival, arriver, comer",someone who arrives (or has arrived),safe
n10557854,"scholar, scholarly person, bookman, student",a learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines,safe
n09793141,ancient,a person who lived in ancient times,safe
n10777299,whisperer,one who speaks in a whisper,safe
n10745006,"valedictorian, valedictory speaker",the student with the best grades who usually delivers the valedictory address at commencement,safe
n09953350,"confectioner, candymaker",someone who makes candies and other sweets,safe
n10539015,"ropewalker, ropedancer",an acrobat who performs on a rope stretched at some height above the ground,safe
n09929298,climber,"someone who climbs as a sport; especially someone who climbs mountains; ""the lead climber looked strong still but his partner often slumped in his ropes""",safe
n10361194,nondriver,a person who is not a driver,safe
n10712374,"tinsmith, tinner",someone who makes or repairs tinware,safe
n10186686,hospital chaplain,a chaplain in a hospital,safe
n10139651,gossip columnist,a journalist who writes a column of gossip about celebrities,safe
n10498986,quartermaster,an army officer who provides clothing and subsistence for troops,safe
n10008123,desk officer,a military officer who is not assigned to active duty,safe
n10171567,"herder, herdsman, drover",someone who drives a herd,safe
n09980458,"cross-examiner, cross-questioner",someone who questions a witness carefully (especially about testimony given earlier),safe
n09883047,business traveler,a traveler whose expenses are paid by the business he works for,safe
n09998788,"deckhand, roustabout",a member of a ship's crew who performs manual labor,safe
n09782397,alderman,"a member of a municipal legislative body (as a city council); ""aldermen usually represent city wards""",safe
n10008254,"desk sergeant, deskman, station keeper",the police sergeant on duty in a police station,safe
n09945021,commodore,a commissioned naval officer who ranks above a captain and below a rear admiral; the lowest grade of admiral,safe
n10159045,"animal trainer, handler",one who trains or exhibits animals,safe
n09795010,annotator,a commentator who writes notes to a text,safe
n10061195,enzymologist,a person who is trained in or engaged in enzymology,safe
n10070563,"exhibitor, exhibitioner, shower",someone who organizes an exhibit for others to see,safe
n10246317,langlaufer,a cross-country skier,safe
n09867311,border patrolman,someone who patrols the borders of a country,safe
n10150071,guard,a person who keeps watch over something or someone,safe
n09830194,back,(football) a person who plays in the backfield,safe
n10708454,thinker,someone who exercises the mind (usually in an effort to reach a decision),safe
n10692482,"taster, taste tester, taste-tester, sampler",someone who samples food or drink for its quality,safe
n09836786,picador,the horseman who pricks the bull with a lance early in the bullfight to goad the bull and to make it keep its head low,safe
n09930257,"closer, finisher",(baseball) a relief pitcher who can protect a lead in the last inning or two of the game,safe
n09808591,armiger,a nobleman entitled to bear heraldic arms,safe
n10738111,unicyclist,a person who rides a unicycle,safe
n09915434,"Cheops, Khufu",Egyptian Pharaoh of the 27th century BC who commissioned the Great Pyramid at Giza,safe
n10793570,wright,someone who makes or repairs something (usually used in combination),safe
n10710259,"ticket collector, ticket taker",someone who is paid to admit only those who have purchased tickets,safe
n10742997,utility man,a baseball player valued for the ability to play at several positions,safe
n10466918,preserver,someone who keeps safe from harm or danger,safe
n10560637,scientist,a person with advanced knowledge of one or more sciences,safe
n10262655,lightweight,an amateur boxer who weighs no more than 132 pounds,safe
n09919200,chiropractor,a therapist who practices chiropractic,safe
n10785480,withdrawer,an authority who withdraws permission,safe
n10604979,skidder,a worker who uses a skid to move logs,safe
n10224578,journalist,a writer for newspapers and magazines,safe
n10180580,holdout,"a negotiator who hopes to gain concessions by refusing to come to terms; ""their star pitcher was a holdout for six weeks""",safe
n10314182,middlebrow,someone who is neither a highbrow nor a lowbrow,safe
n09745933,Utahan,a native or resident of Utah,safe
n09761753,"account executive, account representative, registered representative, customer's broker, customer's man",someone in charge of a client's account for an advertising agency or brokerage or other service business,safe
n10465002,"preemptor, pre-emptor",someone who acquires land by preemption,safe
n09941571,commander,a commissioned naval officer who ranks above a lieutenant commander and below a captain,safe
n10466564,presentist,a theologian who believes that the Scripture prophecies of the Apocalypse (the Book of Revelation) are being fulfilled at the present time,safe
n09851165,"best, topper","the person who is most outstanding or excellent; someone who tops all others; ""he could beat the best of them""",safe
n10656969,"stipendiary, stipendiary magistrate",(United Kingdom) a paid magistrate (appointed by the Home Secretary) dealing with police cases,safe
n09947127,complexifier,someone makes things complex,safe
n10591072,shogun,a hereditary military dictator of Japan; the shoguns ruled Japan until the revolution of 1867-68,safe
n10067600,event planner,someone who plans social events as a profession (usually for government or corporate officials),safe
n10383237,"organizer, organiser, arranger","a person who brings order and organization to an enterprise; ""she was the organizer of the meeting""",safe
n10123844,"general, full general",a general officer of the highest rank,safe
n10495167,pursuer,"a person who pursues some plan or goal; ""a pursuer of truth""",safe
n10422405,"philatelist, stamp collector",a collector and student of postage stamps,safe
n09933020,cobber,Australian term for a pal,safe
n09640715,Elamite,a member of an ancient warlike people living in Elam east of Babylonia as early as 3000 BC,safe
n10654932,stepparent,the spouse of your parent by a subsequent marriage,safe
n10384214,"ornithologist, bird watcher",a zoologist who studies birds,safe
n10390600,packrat,a collector of miscellaneous useless objects,safe
n09869317,bounty hunter,a hunter who kills predatory wild animals in order to collect a bounty,safe
n10631654,speechwriter,a writer who composes speeches for others to deliver,safe
n10029068,"draftsman, drawer",an artist skilled at drawing,safe
n10505732,"raja, rajah",a prince or king in India,safe
n09932098,pitching coach,an assistant baseball coach in charge of pitchers,safe
n10525878,returning officer,the official in each electorate who holds the election and returns the results,safe
n10661216,stranger,an individual that one is not acquainted with,safe
n10041373,earl,a British peer ranking below a marquess and above a viscount,safe
n10724132,transcriber,someone who represents the sounds of speech in phonetic notation,safe
n10806113,zoo keeper,the chief person responsible for a zoological garden,safe
n10802953,yardman,worker in a railway yard,safe
n09629752,"traveler, traveller",a person who changes location,safe
n10139077,good Samaritan,a person who voluntarily offers help or sympathy in times of trouble,safe
n10462860,"practitioner, practician",someone who practices a learned profession,safe
n10646140,stakeholder,someone entrusted to hold the stakes for two or more persons betting against one another; must deliver the stakes to the winner,safe
n10317007,"military officer, officer","any person in the armed services who holds a position of authority or command; ""an officer is responsible for the lives of his men""",safe
n10190122,housing commissioner,a commissioner in charge of public housing,safe
n10343088,mycologist,a botanist who specializes in the study of fungi,safe
n10207169,"in-law, relative-in-law",a relative by marriage,safe
n10314517,middleweight,an amateur boxer who weighs no more than 165 pounds,safe
n10226413,juggler,a performer who juggles objects and performs tricks of manual dexterity,safe
n10015215,"director, theater director, theatre director",someone who supervises the actors and directs the action in the production of a show,safe
n10377291,Olympian,an athlete who participates in the Olympic games,safe
n10237196,"kisser, osculator",someone who kisses,safe
n10428004,physicist,a scientist trained in physics,safe
n09903501,"cellist, violoncellist",someone who plays a violoncello,safe
n10002760,"demonstrator, protester",someone who participates in a public display of group feeling,safe
n10629939,"sparring partner, sparring mate",a boxer who spars with another boxer who is training for an important fight,safe
n10588724,shelver,a worker who puts things (as books) on shelves,safe
n10342992,Mycenaen,a native or inhabitant of ancient Mycenae,safe
n10162354,"hatmaker, hatter, milliner, modiste",someone who makes and sells hats,safe
n09934488,cognitive neuroscientist,a cognitive scientist who studies the neurophysiological foundations of mental phenomena,safe
n10733820,tutee,learns from a tutor,safe
n10775128,whaler,a seaman who works on a ship that hunts whales,safe
n10570019,secretary,a person who is head of an administrative department of government,safe
n10575594,"seeder, cloud seeder",a person who seeds clouds,safe
n09617577,experimenter,a research worker who conducts experiments,safe
n10007684,designated hitter,a ballplayer who is designated to bat in place of the pitcher,safe
n10773665,welder,joins pieces of metal by welding them together,safe
n10761519,"vulcanizer, vulcaniser",someone who vulcanizes rubber to improve its strength and resiliency,safe
n10151261,guest of honor,the person in whose honor a gathering is held,safe
n10153594,gymnast,an athlete who is skilled in gymnastics,safe
