wnid,synset,gloss,imageability score
n10109826,free agent,(sports) a professional athlete who is free to sign a contract to play for any team,2.333333333
n09771435,"admirer, adorer","someone who admires a young woman; ""she had many admirers""",2.3125
n09961198,contralto,a woman singer having a contralto voice,2.3125
n09862183,"boatswain, bos'n, bo's'n, bosun, bo'sun",a petty officer on a merchant ship who controls the work of other seamen,2.3
n09856827,"birth-control campaigner, birth-control reformer",a social reformer who advocates birth control and family planning,2.3
n10711483,"timekeeper, timer",(sports) an official who keeps track of the time elapsed,2.3
n10694939,teaching fellow,a graduate student with teaching responsibilities,2.3
n09617696,experimenter,"a person who enjoys testing innovative ideas; ""she was an experimenter in new forms of poetry""",2.3
n10151133,guest,a customer of a hotel or restaurant etc.,2.3
n10721612,tragedian,an actor who specializes in tragic roles,2.3
n10200781,"important person, influential person, personage",a person whose actions and opinions strongly influence the course of events,2.294117647
n10162354,"hatmaker, hatter, milliner, modiste",someone who makes and sells hats,2.285714286
n09846894,"beer drinker, ale drinker",someone whose favorite drink is beer or ale,2.285714286
n10697135,"Ted, Teddy boy",a tough youth of 1950's and 1960's wearing Edwardian style clothes,2.285714286
n09689958,Albanian,a native or inhabitant of Albania,2.285714286
n10214062,"invader, encroacher",someone who enters by force in order to conquer,2.285714286
n10070108,executive vice president,a vice president holding executive power,2.285714286
n10303037,matron,a married woman (usually middle-aged with children) who is staid and dignified,2.285714286
n10478118,process-server,someone who personally delivers a process (a writ compelling attendance in court) or court papers to the defendant,2.285714286
n10055410,"enchantress, temptress, siren, Delilah, femme fatale",a woman who is considered to be dangerously seductive,2.285714286
n09985809,cyberpunk,a writer of science fiction set in a lawless subculture of an oppressive society dominated by computer technology,2.285714286
n09691858,"Bahraini, Bahreini",a native or inhabitant of Bahrain,2.285714286
n10299125,master-at-arms,the senior petty officer; responsible for discipline aboard ship,2.285714286
n10503818,radiobiologist,a biologist who studies the effects of radiation on living organisms,2.272727273
n09892262,capitalist,a conservative advocate of capitalism,2.272727273
n09844898,"beadsman, bedesman",a person who is paid to pray for the soul of another,2.272727273
n10151367,"guest worker, guestworker","a person with temporary permission to work in another country; ""a Moroccan guestworker in Canada was accused of aiding terrorists""",2.266666667
n10722029,trail boss,the person responsible for driving a herd of cattle,2.266666667
n10717055,tosser,someone who throws lightly (as with the palm upward),2.263157895
n10586166,"Shakespearian, Shakespearean",a Shakespearean scholar,2.25
n10720453,"trader, bargainer, dealer, monger",someone who purchases and maintains an inventory of goods to be sold,2.25
n10218043,Ivy Leaguer,a student or graduate at an Ivy League school,2.25
n09709531,Creole,a person descended from French ancestors in southern United States (especially Louisiana),2.25
n10216403,invigilator,someone who watches examination candidates to prevent cheating,2.25
n10252075,"leaseholder, lessee",a tenant who holds a lease,2.25
n10784544,witch doctor,someone who is believed to heal through magical powers,2.25
n10771066,Wave,a member of the women's reserve of the United States Navy; originally organized during World War II but now no longer a separate branch,2.25
n10312287,meteorologist,a specialist who studies processes in the earth's atmosphere that cause weather conditions,2.25
n10216106,investor,someone who commits capital in order to gain financial returns,2.25
n10289462,manageress,a woman manager,2.25
n09774167,advisee,someone who receives advice,2.25
n09945223,communicant,a person entitled to receive Communion,2.230769231
n10160188,hardliner,a conservative who is uncompromising,2.230769231
n10604979,skidder,a worker who uses a skid to move logs,2.230769231
n09945603,Communist,a member of the communist party,2.230769231
n10157016,halberdier,a guard who carries a halberd (as a symbol of his duty),2.230769231
n10474446,"principal, dealer",the major party to a financial transaction at a stock exchange; buys and sells for his own account,2.230769231
n10720964,"trade unionist, unionist, union member",a worker who belongs to a trade union,2.222222222
n10620758,sociologist,a social scientist who studies the institutions and development of human society,2.222222222
n10528023,rheumatologist,a physician specializing in rheumatic diseases,2.222222222
n09980985,croupier,someone who collects and pays bets at a gaming table,2.222222222
n10652605,state treasurer,the treasurer for a state government,2.222222222
n09910840,"chartist, technical analyst",a stock market analyst who tries to predict market trends from graphs of recent prices of securities,2.222222222
n09616573,"enologist, oenologist, fermentologist",a specialist in wine making,2.222222222
n10514121,reenactor,a person who enacts a role in an event that occurred earlier,2.222222222
n09685233,Hare Krishna,worshipper of Krishna and member of the International Society for Krishna Consciousness,2.222222222
n10001481,"demagogue, demagog, rabble-rouser",a political leader who seeks support by appealing to popular passions and prejudices,2.222222222
n10128748,"ghostwriter, ghost",a writer who gives the credit of authorship to someone else,2.222222222
n10311661,mestiza,a woman of mixed racial ancestry (especially mixed European and Native American ancestry),2.222222222
n09683924,Zen Buddhist,an adherent of the doctrines of Zen Buddhism,2.214285714
n10118743,gambist,a musician who performs upon the viola da gamba,2.214285714
n10712229,"tinkerer, fiddler",an unskilled person who tries to fix or mend,2.214285714
n09727826,Polynesian,a native or inhabitant of Polynesia,2.2
n09790482,analyst,someone who is skilled at analyzing data,2.2
n10277912,"lyricist, lyrist",a person who writes the words for songs,2.2
n10741493,urologist,a specialist in urology,2.2
n09714694,"Iraqi, Iraki","a native or inhabitant of Iraq; ""the majority of Iraqi are Arab Shiite Muslims although Sunni Muslims control the government""",2.2
n10000294,defense contractor,a contractor concerned with the development and manufacture of systems of defense,2.2
n09733793,Tahitian,a native or inhabitant of Tahiti,2.2
n10154601,"hack, drudge, hacker",one who works hard at boring tasks,2.2
n09751895,Zimbabwean,a native or inhabitant of Zimbabwe,2.2
n10676018,"superior, higher-up, superordinate",one of greater rank or station or quality,2.2
n10140783,grader,a judge who assigns grades to something,2.2
n10169147,"heiress, inheritress, inheritrix",a female heir,2.2
n09742927,Illinoisan,a native or resident of Illinois,2.2
n10740594,upsetter,an unexpected winner; someone who defeats the favorite competitor,2.2
n09651123,Caddo,a group of Plains Indians formerly living in what is now North and South Dakota and Nebraska and Kansas and Arkansas and Louisiana and Oklahoma and Texas,2.2
n10464542,"preceptor, don",teacher at a university or college (especially at Cambridge or Oxford),2.2
n09662661,"Navaho, Navajo",a member of an Athapaskan people that migrated to Arizona and New Mexico and Utah,2.2
n09918867,"child prodigy, infant prodigy, wonder child","a prodigy whose talents are recognized at an early age; ""Mozart was a child prodigy""",2.2
n10410246,peacekeeper,a member of a military force that is assigned (often with international sanction) to preserve peace in a trouble area,2.2
n10188856,housemaster,teacher in charge of a school boardinghouse,2.2
n09801102,apprehender,a person who seizes or arrests (especially a person who seizes or arrests in the name of justice),2.2
n10091564,"fire-eater, hothead",a belligerent grouch,2.2
n10344774,namer,"a person who gives a name or names; ""the owner is usually the namer of a boat""",2.2
n10082299,"Fauntleroy, Little Lord Fauntleroy",an excessively polite and well-dressed boy,2.2
n09658921,Kichai,a member of a Caddo people formerly living in north central Texas,2.2
n10701962,"tenor saxophonist, tenorist",a musician who plays the tenor saxophone,2.2
n09987161,czar,a person having great power,2.2
n09924195,city man,a financier who works in one of the banks in the City of London,2.2
n10645223,stage director,someone who supervises the actors and directs the action in the production of a stage show,2.2
n09691604,Austrian,a native or inhabitant of Austria,2.2
n09695620,Bulgarian,a native or inhabitant of Bulgaria,2.2
n09923996,city editor,the newspaper editor in charge of editing local news,2.2
n10689306,tailback,(American football) the person who plays tailback,2.2
n09619452,finisher,a worker who performs the last step in a manufacturing process,2.2
n09941787,"commander in chief, generalissimo","the officer who holds the supreme command; ""in the U.S. the president is the commander in chief""",2.2
n09809279,army attache,a military attache who is a commissioned or warrant officer in an army,2.2
n09981540,"cryptanalyst, cryptographer, cryptologist",decoder skilled in the analysis of codes and cryptograms,2.2
n09945021,commodore,a commissioned naval officer who ranks above a captain and below a rear admiral; the lowest grade of admiral,2.2
n09814381,assemblyman,someone who is a member of a legislative assembly,2.2
n10123122,gendarme,a French policeman,2.2
n10168584,"heir, inheritor, heritor",a person who is entitled by law or by the terms of a will to inherit the estate of another,2.2
n10483890,prophet,someone who speaks by divine inspiration; someone who is an interpreter of the will of God,2.2
n10243664,lama,a Tibetan or Mongolian priest of Lamaism,2.2
n09802445,appreciator,"a person who is fully aware of something and understands it; ""he is not an appreciator of our dilemma""",2.2
n09607630,"appointee, appointment",a person who is appointed to a job or position,2.2
n10228592,"justiciar, justiciary",formerly a high judicial officer,2.2
n10723597,transactor,someone who conducts or carries on business or negotiations,2.2
n09654518,Delaware,a member of an Algonquian people formerly living in New Jersey and New York and parts of Delaware and Pennsylvania,2.2
n09641578,"WASP, white Anglo-Saxon Protestant",a white person of Anglo-Saxon ancestry who belongs to a Protestant denomination,2.2
n10204177,industrialist,someone who manages or has significant financial interest in an industrial enterprise,2.2
n10396727,paparazzo,a freelance photographer who pursues celebrities trying to take candid photographs of them to sell to newspapers or magazines,2.2
n09686262,Eurafrican,a person of mixed European and African descent,2.2
n10649308,"starter, dispatcher",the official who signals the beginning of a race or competition,2.181818182
n09910222,charioteer,the driver of a chariot,2.181818182
n10359659,NOC,an undercover agent who is given no official cover,2.181818182
n10759151,"volunteer, unpaid worker",a person who performs voluntary work,2.181818182
n10684146,"switcher, whipper",a person who administers punishment by wielding a switch or whip,2.181818182
n09708750,Parisian,a native or resident of Paris,2.181818182
n09672590,Yana,a member of an extinct North American Indian people who lived in northern California,2.176470588
n09744834,"North Carolinian, Tarheel",a native or resident of North Carolina,2.173913043
n10411551,"peddler, pedlar, packman, hawker, pitchman",someone who travels about selling his wares (as on the streets or at carnivals),2.166666667
n10048612,elder statesman,any influential person whose advice is highly respected,2.166666667
n10040698,dyspeptic,a person suffering from indigestion,2.166666667
n10482054,"promiser, promisor",a person who makes a promise,2.166666667
n10782940,"winner, victor",the contestant who wins the contest,2.166666667
n10374849,oil tycoon,a powerful person in the oil business,2.166666667
n10591811,shopaholic,"a compulsive shopper; ""shopaholics can never resist a bargain""",2.166666667
n10121800,gastroenterologist,a physician who specializes in diseases of the gastrointestinal tract,2.166666667
n09967406,"cosmopolitan, cosmopolite",a sophisticated person who has travelled in many countries,2.166666667
n09742315,German American,an American who was born in Germany or whose ancestors were German,2.166666667
n09622302,lover,a person who loves someone or is loved by someone,2.166666667
n10168837,heir apparent,an heir whose right to an inheritance cannot be defeated if that person outlives the ancestor,2.166666667
n09807075,"archpriest, hierarch, high priest, prelate, primate",a senior clergyman and dignitary,2.166666667
n10011486,"diarist, diary keeper, journalist",someone who keeps a diary or journal,2.166666667
n09734185,Tanzanian,a native or inhabitant of Tanzania,2.166666667
n10522759,"rescuer, recoverer, saver",someone who saves something from danger or violence,2.166666667
n10218292,Jacksonian,a follower of Andrew Jackson or his ideas,2.166666667
n10185148,hoper,"a person who hopes; ""only an avid hoper could expect the team to win now""",2.16
n09776807,aficionado,a serious devotee of some particular music genre or musical performer,2.153846154
n10713843,toast mistress,a woman toastmaster,2.15
n06340977,Hakham,a Hebrew title of respect for a wise and highly educated man,2.142857143
n10748142,"venturer, merchant-venturer",a merchant who undertakes a trading venture (especially a venture that sends goods overseas),2.142857143
n10568915,second-in-command,someone who relieves a commander,2.142857143
n10477955,processor,someone who processes things (foods or photographs or applicants etc.),2.142857143
n09644657,"Tatar, Tartar, Mongol Tatar",a member of the Mongolian people of central Asia who invaded Russia in the 13th century,2.142857143
n10634464,speech therapist,a therapist who treats speech defects and disorders,2.142857143
n10359546,"Nobelist, Nobel Laureate",winner of a Nobel prize,2.142857143
n10363445,noticer,"someone who takes notice; ""a careful noticer of details""",2.142857143
n10365514,nudger,"someone who nudges; someone who gives a gentle push; ""he needs a regular nudger to keep him awake""",2.142857143
n10400437,"Parliamentarian, Member of Parliament",an elected member of the British Parliament: a member of the House of Commons,2.142857143
n09889170,"calligrapher, calligraphist",someone skilled in penmanship,2.142857143
n10169796,"helmsman, steersman, steerer",the person who steers a ship,2.142857143
n09976728,creditor,a person to whom money is owed by a debtor; someone to whom an obligation exists,2.142857143
n09873769,breaststroker,someone who swims the breaststroke,2.142857143
n10485298,prospector,someone who explores an area for mineral deposits,2.142857143
n10676569,"supernumerary, spear carrier, extra",a minor actor in crowd scenes,2.142857143
n09782397,alderman,"a member of a municipal legislative body (as a city council); ""aldermen usually represent city wards""",2.142857143
n09706029,Finn,a native or inhabitant of Finland,2.142857143
n10159533,hang glider,a rider of a hang glider,2.142857143
n10258602,licenser,an official who can issue a license or give authoritative permission (especially one who licenses publications),2.133333333
n09905050,centurion,(ancient Rome) the leader of 100 soldiers,2.125
n10402709,part-timer,someone who works less than the customary or standard time,2.125
n10126708,genitor,a natural father or mother,2.125
n09620078,"inhabitant, habitant, dweller, denizen, indweller",a person who inhabits a particular place,2.125
n10783734,"wireman, wirer",a worker who installs and repairs electric wiring,2.125
n10315217,"mikado, tenno",the emperor of Japan; when regarded as a religious leader the emperor is called tenno,2.125
n09955944,rep,informal abbreviation of `representative',2.125
n10113249,frontierswoman,a woman who lives on the frontier,2.125
n09901786,Catholicos,the ecclesiastical title of the leaders of the Nestorian and Armenian churches,2.125
n10005934,deputy,a member of the lower chamber of a legislative assembly (such as in France),2.117647059
n10140683,grabber,an unpleasant person who grabs inconsiderately,2.111111111
n09686401,Eurasian,a person of mixed European and Asian descent,2.111111111
n10001764,"demigod, superman, Ubermensch",a person with great powers and abilities,2.111111111
n10030277,"dramatist, playwright",someone who writes plays,2.111111111
n10619888,social secretary,a personal secretary who handles your social correspondence and appointments,2.111111111
n09877587,browser,a viewer who looks around casually without seeking anything in particular,2.111111111
n10174695,"Highlander, Scottish Highlander, Highland Scot",a native of the Highlands of Scotland,2.1
n10697282,"teetotaler, teetotaller, teetotalist",a total abstainer,2.1
n09865162,"bondwoman, bondswoman, bondmaid",a female bound to serve without wages,2.1
n10056103,"energizer, energiser, vitalizer, vitaliser, animator",someone who imparts energy and vitality and spirit to other people,2.1
n10734963,"tympanist, timpanist",a person who plays the kettledrums,2.1
n09827246,"babu, baboo",used as a Hindi courtesy title; equivalent to English `Mr',2.1
n10060352,"entrepreneur, enterpriser",someone who organizes a business venture and assumes the risk for it,2.1
n09774783,"advocate, advocator, proponent, exponent",a person who pleads for a cause or propounds an idea,2.1
n10585217,"sexton, sacristan",an officer of the church who is in charge of sacred objects,2.1
n10658304,stockist,one (as a retailer or distributor) that stocks goods,2.090909091
n10481167,profit taker,someone who sells stock shares at a profit,2.090909091
n10299250,"master of ceremonies, emcee, host",a person who acts as host at formal occasions (makes an introductory speech and introduces other speakers),2.090909091
n10417551,personal representative,a person who manages the affairs of another,2.090909091
n10036444,Druid,a pre-Christian priest among the Celts of ancient Gaul and Britain and Ireland,2.090909091
n09980458,"cross-examiner, cross-questioner",someone who questions a witness carefully (especially about testimony given earlier),2.090909091
n09624899,mediatrix,a woman who is a mediator,2.090909091
n10583790,settler,a clerk in a betting shop who calculates the winnings,2.083333333
n09810166,"arrival, arriver, comer",someone who arrives (or has arrived),2.083333333
n10591072,shogun,a hereditary military dictator of Japan; the shoguns ruled Japan until the revolution of 1867-68,2.083333333
n10335801,"mouthpiece, mouth",a spokesperson (as a lawyer),2.083333333
n09796974,anti-American,a person who is opposed to the United States and its policies,2.083333333
n10020807,docent,a teacher at some universities,2.083333333
n10450161,political scientist,a social scientist specializing in the study of government,2.076923077
n10628097,Southern Baptist,a member of the Southern Baptist Convention,2.076923077
n10395828,Panchen Lama,the lama next in rank to the Dalai Lama,2.076923077
n09957523,Conservative,a member of a Conservative Party,2.071428571
n10195155,hypertensive,a person who has abnormally high blood pressure,2.071428571
n09753792,"Pisces, Fish",(astrology) a person who is born while the sun is in Pisces,2.071428571
n09723819,Namibian,a native or inhabitant of Namibia,2.071428571
n10315456,Milanese,a native or inhabitant of Milan,2.071428571
n10331347,"mortgagee, mortgage holder","the person who accepts a mortgage; ""the bank became our mortgagee when it accepted our mortgage on our new home""",2.0625
n10037922,"dry, prohibitionist",a reformer who opposes the use of intoxicating beverages,2
n10578162,"seminarian, seminarist",a student at a seminary (especially a Roman Catholic seminary),2
n10618465,"social anthropologist, cultural anthropologist",an anthropologist who studies such cultural phenomena as kinship systems,2
n10383094,organization man,an employee who sacrifices his own individuality for the good of an organization,2
n09937903,"colonizer, coloniser",someone who helps to found a colony,2
n10186068,horse trader,a hard bargainer,2
n09825096,"authorizer, authoriser","an authority who authorizes (people or actions); ""the agents report back to their authorizers""",2
n10633298,specifier,someone who draws up specifications giving details (as for obtaining a patent),2
n10128519,geophysicist,a geologist who uses physical principles to study the properties of the earth,2
n10206506,ingenue,an artless innocent young girl (especially as portrayed on the stage),2
n09907804,chandler,a retail dealer in provisions and supplies,2
n09934337,cog,"a subordinate who performs an important but routine function; ""he was a small cog in a large machine""",2
n09613690,"cosigner, cosignatory",one of two or more signers of the same document (as a treaty or declaration),2
n10703692,"testee, examinee",someone who is tested (as by an intelligence test or an academic examination),2
n10456696,"postdoc, post doc",a scholar or researcher who is involved in academic study beyond the level of a doctoral degree,2
n10656120,stiff,"an ordinary man; ""a lucky stiff""; ""a working stiff""",2
n10409752,"payer, remunerator",a person who pays money for something,2
n10296444,"martinet, disciplinarian, moralist",someone who demands exact conformity to rules and forms,2
n10665302,struggler,a person who struggles with difficulties or with great effort,2
n10482220,"promoter, booster, plugger",someone who is an active supporter and advocate,2
n09764900,active,"a person who is a participating member of an organization; ""the club issues a list of members, both the actives and the retirees""",2
n10773800,"welfare case, charity case",a case for a welfare worker,2
n10281546,magus,a magician or sorcerer of ancient times,2
n10667709,subaltern,a British commissioned army officer below the rank of captain,2
n10478462,proconsul,an official in a modern colony who has considerable administrative power,2
n09650839,Blackfoot,a member of a warlike group of Algonquians living in the northwestern plains,2
n09985470,"cutter, carver",someone who carves the meat,2
n10416567,periodontist,a dentist specializing in diseases of the gums and other structure surrounding the teeth,2
n10099375,follower,a person who accepts the leadership of another,2
n10751152,vicegerent,someone appointed by a ruler as an administrative deputy,2
n09924996,"civil rights leader, civil rights worker, civil rights activist",a leader of the political movement dedicated to securing equal opportunity for members of minority groups,2
n09711132,Athenian,a resident of Athens,2
n09871952,boy wonder,an extremely talented young male person,2
n09676021,Kashmiri,a member of the people of Kashmir,2
n10703336,"testator, testate",a person who makes a will,2
n10578656,sendee,the intended recipient of a message,2
n09712448,Haitian,a native or inhabitant of Haiti,2
n10400108,parishioner,a member of a parish,2
n10302700,matriarch,a feisty older woman with a big bosom (as drawn in cartoons),2
n10071557,"existentialist, existentialist philosopher, existential philosopher",a philosopher who emphasizes freedom of choice and personal responsibility but who regards human existence in a hostile universe as unexplainable,2
n09905530,"chachka, tsatske, tshatshke, tchotchke, tchotchkeleh","(Yiddish) an attractive, unconventional woman",2
n10686073,"sympathizer, sympathiser, well-wisher",someone who shares your feelings or opinions and hopes that you will be successful,2
n10012484,"dietician, dietitian, nutritionist",a specialist in the study of nutrition,2
n10139077,good Samaritan,a person who voluntarily offers help or sympathy in times of trouble,2
n09801533,"aspirant, aspirer, hopeful, wannabe, wannabee","an ambitious and aspiring young person; ""a lofty aspirant""; ""two executive hopefuls joined the firm""; ""the audience was full of Madonna wannabes""",2
n10108018,foundress,a woman founder,2
n10674130,"suitor, suer, wooer","a man who courts a woman; ""a suer for the hand of the princess""",2
n09835230,ball hawk,a team athlete who is skilled at stealing or catching the ball,2
n09626238,"peer, equal, match, compeer",a person who is of equal standing with another in a group,2
n09936825,colleen,an Irish girl,2
n10051761,embryologist,a physician who specializes in embryology,2
n09954355,confessor,a priest who hears confession and gives absolution,2
n10598013,signore,an Italian title of respect for a man; equivalent to the English `sir'; used separately (not prefixed to his name),2
n10343554,"mystic, religious mystic",someone who believes in the existence of realities beyond human comprehension,2
n09971385,"county agent, agricultural agent, extension agent",an advisor employed by the government to assist people in rural areas with methods of farming and home economics,2
n10511771,reciter,someone who recites from memory,2
n10134760,godfather,any man who serves as a sponsor for a child at baptism,2
n10153155,guvnor,(British slang) boss,2
n10361194,nondriver,a person who is not a driver,2
n10024937,Dominican,a native or inhabitant of the Dominican Republic,2
n10323999,mixed-blood,a person whose ancestors belonged to two or more races,2
n10195056,hyperope,a person with hyperopia; a farsighted person,2
n10060175,entrant,"someone who enters; ""new entrants to the country must go though immigration procedures""",2
n10080508,"fatalist, determinist, predestinarian, predestinationist",anyone who submits to the belief that they are powerless to change their destiny,2
n09615336,discussant,a participant in a formal discussion,2
n10568200,"second baseman, second sacker",(baseball) the person who plays second base,2
n10078131,"fancier, enthusiast",a person having a strong liking for something,2
n10570704,"Secretary of Agriculture, Agriculture Secretary","the person who holds the secretaryship of the Department of Agriculture; ""the first Secretary of Agriculture was Norman J. Colman, who was appointed by Cleveland""",2
n09624559,"mediator, go-between, intermediator, intermediary, intercessor",a negotiator who acts as a link between parties,2
n10371052,"offerer, offeror",someone who presents something to another for acceptance or rejection,2
n10719267,"townsman, towner",a resident of a town or city,2
n10161622,hash head,a user of hashish,2
n10116478,fundraiser,someone who solicits financial contributions,2
n10594523,shuffler,the card player who shuffles the cards,2
n10409459,pawnbroker,a person who lends money at interest in exchange for personal property that is deposited as security,2
n09700125,Djiboutian,a native or inhabitant of Djibouti,2
n10126177,"generator, source, author","someone who originates or causes or initiates something; ""he was the generator of several complaints""",2
n10368624,nymphet,a sexually attractive young woman,2
n10082562,favorite son,a United States politician favored mainly in his or her home state,2
n10506544,ranch hand,a hired hand on a ranch,2
n10275249,"Lowlander, Scottish Lowlander, Lowland Scot",a native of the Lowlands of Scotland,2
n10668666,"subject, case, guinea pig","a person who is subjected to experimental or other observational procedures; someone who is an object of investigation; ""the subjects for this investigation were selected randomly""; ""the cases that we studied were drawn from two different communities""",2
n09912995,checker,one who checks the correctness of something,2
n10029068,"draftsman, drawer",an artist skilled at drawing,2
n10368798,"nymphomaniac, nympho",a woman with abnormal sexual desires,2
n10006748,descender,someone who descends,2
n10747965,venture capitalist,a speculator who makes money available for innovative projects (especially in high technology),2
n09764732,action officer,the case officer designated to perform an act during a clandestine operation (especially in a hostile area),2
n10672662,suffragette,a woman advocate of women's right to vote (especially a militant advocate in the United Kingdom at the beginning of the 20th century),2
n10406765,"patriarch, paterfamilias",the male head of family or tribe,2
n09929202,climatologist,someone who is expert in climatology,2
n09775907,aeronautical engineer,an engineer concerned with the design and construction of aircraft,2
n10378026,"onlooker, looker-on",someone who looks on,2
n10334461,Mound Builder,prehistoric Amerindians who built altar mounds,2
n10437137,placer miner,a miner who extracts minerals from a placer by washing or dredging,2
n10261624,"light heavyweight, cruiserweight",a professional boxer who weighs between 169 and 175 pounds,2
n09678747,"Adventist, Second Adventist",a member of Christian denomination that expects the imminent advent of Christ,2
n09933972,co-beneficiary,one of two or more beneficiaries of the same benefit,2
n10756641,visionary,a person given to fanciful speculations and enthusiasms with little regard for what is actually possible,2
n09910374,"charmer, beguiler",a person who charms others (usually by personal attractiveness),2
n10245507,"landlubber, landsman, landman",a person who lives and works on land,2
n09795334,announcer,someone who proclaims a message publicly,2
n09958292,Anglican,a Protestant who is a follower of Anglicanism,2
n09744346,"New Hampshirite, Granite Stater",a native or resident of New Hampshire,2
n10146002,"great-nephew, grandnephew",a son of your niece or nephew,2
n10330931,moralist,a philosopher who specializes in morals and moral problems,2
n10537906,"romanticist, romantic",an artist of the Romantic Movement or someone influenced by Romanticism,2
n09741331,"Arkansan, Arkansawyer",a native or resident of Arkansas,2
n09895701,caretaker,a custodian who is hired to take care of something (property or a person),2
n10575594,"seeder, cloud seeder",a person who seeds clouds,2
n10066206,Etonian,a student enrolled in (or graduated from) Eton College,2
n10117017,gadgeteer,a person who delights in designing or building or using gadgets,2
n09737050,Ukranian,a native or inhabitant of the Ukraine,2
n10727458,"Treasury, First Lord of the Treasury",the British cabinet minister responsible for economic strategy,2
n10061882,epidemiologist,a medical scientist who studies the transmission and control of epidemic diseases,2
n10069296,executant,a performer (usually of musical works),2
n10525878,returning officer,the official in each electorate who holds the election and returns the results,2
n10772580,weekend warrior,a reservist who fulfills the military obligation on weekends,2
n10792856,wrecker,someone who demolishes or dismantles buildings as a job,2
n10197392,"ideologist, ideologue",an advocate of some ideology,2
n09848489,"believer, truster",a supporter who accepts something as true,2
n10212780,interpreter,"someone who uses art to represent something; ""his paintings reveal a sensitive interpreter of nature""; ""she was famous as an interpreter of Shakespearean roles""",2
n10489426,psychophysicist,a psychologist trained in psychophysics,2
n10308275,"clansman, clanswoman, clan member",a member of a clan,2
n10170866,hemiplegic,a person who has hemiplegia (is paralyzed on one side of the body),2
n09862621,bobby,an informal term for a British policeman,2
n10552393,Sassenach,the Scots' term for an English person,2
n09888635,"caller, caller-out","a person who announces the changes of steps during a dance; ""you need a fiddler and a caller for country dancing""",2
n10793799,"write-in candidate, write-in",a candidate for public office whose name does not appear on the ballot and so must be written on the ballot by the voters,2
n09787765,ambassador,"an informal representative; ""an ambassador of good will""",2
n10168183,"hedonist, pagan, pleasure seeker",someone motivated by desires for sensual pleasures,1.9375
n10427359,"photometrist, photometrician",someone who practices photometry,1.928571429
n09991740,dark horse,a political candidate who is not well known but could win unexpectedly,1.923076923
n09718811,Jordanian,a native or inhabitant of Jordan,1.923076923
n09679925,Catholic,a member of a Catholic church,1.916666667
n10015897,"disbeliever, nonbeliever, unbeliever",someone who refuses to believe (as in a divinity),1.916666667
n09817174,associate,"a person with subordinate membership in a society, institution, or commercial enterprise; ""associates in the law firm bill at a lower rate than do partners""",1.916666667
n10289766,mandarin,any high government official or bureaucrat,1.916666667
n09778927,agnostic,a person who claims that they cannot have true knowledge about the existence of God (but does not deny that God might exist),1.916666667
n09667358,Salish,a member of a group of North American Indians speaking a Salishan language and living on the northwest coast of North America,1.916666667
n09993252,"dawdler, drone, laggard, lagger, trailer, poke",someone who takes more time than necessary; someone who lags behind,1.909090909
n09613118,contadino,an Italian farmer,1.909090909
n10055566,"encyclopedist, encyclopaedist",a person who compiles information for encyclopedias,1.909090909
n10051861,emeritus,a professor or minister who is retired from assigned duties,1.909090909
n10598181,signorina,"an Italian courtesy title for an unmarried woman; equivalent to `Miss', it is either used alone or before a name",1.909090909
n10760622,vouchee,(law) a person called into court to defend a title,1.909090909
n10240082,"knower, apprehender",a person who knows or apprehends,1.909090909
n09769929,"adjuster, adjustor, claims adjuster, claims adjustor, claim agent",one who investigates insurance claims or claims for damages and recommends an effective settlement,1.909090909
n10083677,"fellow traveler, fellow traveller",a communist sympathizer (but not a member of the Communist Party),1.909090909
n09968845,"counselor, counsellor",someone who gives advice about problems,1.909090909
n10211036,"interlocutor, middleman",the performer in the middle of a minstrel line who engages the others in talk,1.909090909
n10295371,marquess,a British peer ranking below a duke and above an earl,1.909090909
n09724234,Gurkha,a member of Hindu people descended from brahmins and Rajputs who live in Nepal,1.9
n10404426,passer,a student who passes an examination,1.9
n10545792,sadist,someone who obtains pleasure from inflicting pain or others,1.9
n10198832,"idolizer, idoliser",a lover blind with admiration and devotion,1.9
n09740724,Anglo-American,an American who was born in Britain or one whose ancestors were British,1.9
n09742101,Floridian,a native or resident of Florida,1.888888889
n09741816,Coloradan,a native or resident of Colorado,1.888888889
n09653144,"Cocopa, Cocopah",a member of a North American Indian people living around the mouth of the Colorado River,1.888888889
n09994808,deaconess,a woman deacon,1.888888889
n10460033,"potboy, potman",a worker in an inn or public house who serves customers and does various chores,1.888888889
n10693235,taxer,a bureaucrat who levies taxes,1.888888889
n10382302,ordinand,a person being ordained,1.888888889
n10369528,"observer, commentator",an expert who observes and comments on something,1.888888889
n10759982,votary,"a priest or priestess (or consecrated worshipper) in a non-Christian religion or cult; ""a votary of Aphrodite""",1.888888889
n10528493,"rhymer, rhymester, versifier, poetizer, poetiser",a writer who composes rhymes; a maker of poor verses (usually used as terms of contempt for minor or inferior poets),1.888888889
n10671736,"successor, replacement","a person who follows next in order; ""he was President Lincoln's successor""",1.888888889
n09715303,Irishwoman,a woman who is a native or inhabitant of Ireland,1.888888889
n09751076,"Serbian, Serb",a member of a Slavic people who settled in Serbia and neighboring areas in the 6th and 7th centuries,1.888888889
n10517283,Regius professor,holder of a British professorship created by a royal patron,1.888888889
n10253479,"legate, official emissary",a member of a legation,1.888888889
n09695132,Tupi,a member of the South American Indian people living in Brazil and Paraguay,1.888888889
